使用区队	申请日期	出库明细									
使用区队	申请日期	物料类型	物料编码	物料名称	规格型号	单位	出库数量	单价	金额	单位	工程名称
掘进二队	2025-06-10	材料	213701010000004	包胶钢卷尺	5m（不锈钢，工程塑料）	把	6.00	4.20	25.20	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	230119030000006	普通塑料编织袋	800*500	条	1500.00	0.60	900.00	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	230119110000007	尼龙扎带	8×500	根	500.00	0.10	50.00	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	390101070000011	活扳手	250mm	把	2.00	14.40	28.80	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	210715070000015	矿用隔爆型LED巷道灯	DGS18/127L(D)	台	8.00	420.68	3365.44	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	390101090000002	内六角扳手	10mm	把	5.00	4.25	21.25	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	213115010000005	一字螺丝刀	150mm	把	2.00	1.07	2.14	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	390101090000015	内六角扳手	4mm	把	5.00	2.84	14.20	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	390101090000013	内六角扳手	3mm	把	5.00	1.44	7.20	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	390101090000016	内六角扳手	5mm	把	5.00	1.28	6.40	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	390101090000017	内六角扳手	6mm	把	5.00	3.15	15.75	开掘	+878-810m回风斜巷
掘进二队	2025-06-07	材料	230119110000006	尼龙扎带	5×500	根	800.00	0.07	56.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	250501010000013	防尘口罩	3M 9002	个	104.00	20.90	2173.60	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	250701070000003	乳胶手套	乳胶	双	104.00	4.92	511.68	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	110507010000004	镀锌铁丝	1.6mm	公斤	50.00	6.14	307.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	110507010000006	镀锌铁丝	2.8mm	公斤	50.00	5.43	271.50	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	990143030037553	闸阀	Z41Y--2.5mpa 50mm（16553）	个	1.00	480.30	480.30	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	210715070000015	矿用隔爆型LED巷道灯	DGS18/127L(D)	台	2.00	420.68	841.36	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	盈树	普通螺母	16mm	件	20.00	0.17	3.40	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	211501010000216	六角螺栓	16×70	件	400.00	0.83	332.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	390123010000005	毛刷	75mm	把	184.00	3.14	577.76	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	110507010000007	镀锌铁丝	3.5mm	公斤	50.00	5.19	259.50	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	盈树	管子垫	Φ100	件	50.00	0.84	42.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	盈树	管子垫	50mm综配	个	50.00	0.81	40.50	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	230119030000006	普通塑料编织袋	800*500	条	1500.00	0.60	900.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	212101250000016	法兰盘	150mm(-16)	个	90.00	47.65	4288.50	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	213105110000004	手锤	3p	把	1.00	15.34	15.34	开掘	+878-810m回风斜巷
掘进一队	2025-06-07	材料	211927050000029	闸阀	Z41H-25C-DN50	只	1.00	259.08	259.08	开掘	+878-810m回风斜巷
机电队	2025-06-07	材料	210911130000016	数字万用表	VC9806	块	4.00	402.50	1610.00	开掘	+878-810m回风斜巷
机电队	2025-06-07	材料	210911170000043	数字钳形表	Dm6015F	只	1.00	357.10	357.10	开掘	+878-810m回风斜巷
通风队	2025-06-07	材料	190301090000001	隔绝式化学氧自救器	ZH30（C）	台	20.00	188.68	3773.60	开掘	+878-810m回风斜巷
武装保卫科	2025-06-06	材料	E23101010000023	矿用本安型对讲机	KTW179	台	4.00	4500.00	18000.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-06	材料	510199170000140	球形截止阀	QJ19	件	28.00	61.95	1734.60	开掘	+878-810m回风斜巷
掘进一队	2025-06-06	材料	510199170000237	直通	KJ-19	件	100.00	6.15	615.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-06	材料	390101130000003	扭力扳手	280-760预调试把距范围	把	1.00	623.29	623.29	开掘	+878-810m回风斜巷
掘进一队	2025-06-06	材料	510199190000018	U型卡	Φ10综配	件	200.00	0.11	22.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-06	材料	213101250000082	套筒头	46mm重型	个	1.00	11.25	11.25	开掘	+878-810m回风斜巷
掘进一队	2025-06-06	材料	213101250000079	套筒头	36mm重型	个	1.00	7.10	7.10	开掘	+878-810m回风斜巷
掘进一队	2025-06-06	材料	390309030000004	气动扳手	30mm	台	1.00	1271.94	1271.94	开掘	+878-810m回风斜巷
掘进一队	2025-06-06	材料	210329050000018	气动手持式钻机	ZQS-60/2.0S	台	4.00	3760.00	15040.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-06	材料	391303050000005	气动葫芦	HQ6-(3～16)（原型号QDH6.0）北京双泰气动	台	2.00	50689.66	101379.32	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	212905050000006	风镐钎	28×450mm	根	2.00	16.25	32.50	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	390501010000001	气镐	G10	台	2.00	297.00	594.00	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	230109330000475	高压胶管总成	KJR3-19-24/10000	条	5.00	450.00	2250.00	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	990143010007135	直通	Φ19	个	10.00	6.29	62.90	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	210111010000465	煤矿用移动轻型橡套软电缆	MYQ4×2.5.	米	100.00	8.49	849.00	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	210715070000015	矿用隔爆型LED巷道灯	DGS18/127L(D)	台	8.00	420.68	3365.44	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	510199170000140	球形截止阀	QJ19	件	2.00	61.95	123.90	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	510199190000021	U型卡	Φ19	件	10.00	0.27	2.70	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	230119110000007	尼龙扎带	8×500	根	400.00	0.10	40.00	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	210111010000296	橡套电缆	MYP-0.66/1.14KV 3×70+1×25 .	米	3.00	251.89	755.67	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	210111010000321	橡套电缆	MYPTJ-8.7/10KV 3×70+3×35/3+3×2.5 .	米	4.00	315.17	1260.68	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	390115050000014	新式重型管钳	450mm（铬钼钢，球墨铸铁）	把	1.00	90.00	90.00	开掘	+878-810m回风斜巷
机电队	2025-06-06	材料	390115050000015	新式重型管钳	600mm（铬钼钢，球墨铸铁）	把	1.00	63.00	63.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-05	材料	390199050000001	锹把	1200mm Φ30mm（槐木）±50mm	根	5.00	6.00	30.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-05	材料	990143030016641	中方锹	-6642	把	5.00	10.64	53.20	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-05	材料	390705010000026	焊条	Φ3.2	公斤	80.00	6.40	512.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-05	材料	390705010000022	焊条	Φ4.0	公斤	2.00	6.63	13.26	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-05	材料	390199050000009	白蜡杆	1.8m	根	1.00	10.57	10.57	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-05	材料	250301010000003	安全帽	电绝缘性能+阻燃性能	顶	1.00	36.22	36.22	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-05	材料	213105130000005	大锤	(三产)8公斤	把	1.00	29.34	29.34	开掘	+878-810m回风斜巷
机电队	2025-06-05	材料	210545130000025	阻燃型冷缩中间接头	10KV *3*70-120	套	2.00	1150.00	2300.00	开掘	+878-810m回风斜巷
机电队	2025-06-05	材料	390101030000041	梅花扳手	30-32mm	把	2.00	22.19	44.38	开掘	+878-810m回风斜巷
机电队	2025-06-05	材料	990143030030690	钢绞线	-9690	公斤	100.00	7.00	700.00	开掘	+878-810m回风斜巷
机电队	2025-06-05	材料	213701010000004	包胶钢卷尺	5m（不锈钢，工程塑料）	把	1.00	4.20	4.20	开掘	+878-810m回风斜巷
机电队	2025-06-05	材料	212101250000016	法兰盘	150mm(-16)	个	4.00	47.65	190.60	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	391309010000015	重型绳卡头	6mm	个	70.00	0.64	44.80	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	E30109990000114	临时支护用单体液压支柱	DW25-30/100B	台	5.00	2097.00	10485.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	212903130000034	高强三棱钻杆	Φ73*1000mm	根	50.00	300.88	15044.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	211501010000201	六角螺栓	16×200	条	4.00	2.66	10.64	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	230119110000006	尼龙扎带	5×500	根	1600.00	0.07	112.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	212901070000134	两翼整片金刚石锚杆钻头	30.5mm	只	3.00	93.96	281.88	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	212901030000003	注水煤钻头	32mm	支	10.00	3.88	38.80	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	212903130000193	液压接头	.	个	3.00	7.00	21.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	990145010000373	钻杆	B19	个	30.00	47.60	1428.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	399901010000035	高强度碳钢扣（高强度输送带扣）	T10-28	盒	2.00	154.00	308.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	541101030030013	导向轮	/	件	1.00	840.00	840.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	211503010000004	普通螺母	16mm	件	20.00	0.19	3.80	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	211501010000216	六角螺栓	16×70	件	20.00	0.83	16.60	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	990143010007135	直通	Φ19	个	12.00	6.29	75.48	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	990143010007129	直通	Φ10	个	2.00	3.33	6.66	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	212901030000004	注水煤钻头	43mm	支	20.00	3.00	60.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	390309030000004	气动扳手	30mm	台	1.00	1271.94	1271.94	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	211503010000006	普通螺母	20mm	件	10.00	0.44	4.40	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	211501010000261	六角螺栓	20×70	件	10.00	1.63	16.30	开掘	+878-810m回风斜巷
掘进一队	2025-06-05	材料	212903130000034	高强三棱钻杆	Φ73*1000mm	根	50.00	283.19	14159.50	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	盈树	无纵肋螺纹钢式树脂锚杆金属杆体(高强锚杆)	MSGLW-600/22×2400	套	1400.00	66.07	92498.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	212901070000136	三翼高强金刚石复合片钻头	73/Φ 94（ZDY4200LS煤矿用履带双速液压钻机)	件	1.00	1150.44	1150.44	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	212901230000002	金刚石复合片钻头（三翼）	FGW113G	只	1.00	1238.94	1238.94	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	541101010030020	制动器	/	件	10.00	123.21	1232.10	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	110501270000003	钢丝绳	6×19s×18.5	公斤	120.00	6.97	836.40	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	559915010000041	道夹板	24kg	公斤	80.00	5.56	444.80	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	212905050000001	成品钎	Φ22（55SiMnMo)	公斤	509.00	7.50	3817.50	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	390199050000001	锹把	1200mm Φ30mm（槐木）±50mm	根	20.00	6.00	120.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	211503010000006	普通螺母	20mm	件	500.00	0.44	220.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	211501070000011	鱼尾螺栓	20×90	件	200.00	1.47	294.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	392305010000001	坡度规	FD—200（45#钢）	把	2.00	54.19	108.38	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	110707170000001	无纵肋螺纹钢式树脂锚杆金属杆体(特殊左旋锚杆)	MSGLW-500/22×2400	套	200.00	61.88	12376.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-04	材料	110707330000010	锚索盘	300x300x14	个	50.00	52.83	2641.50	开掘	+878-810m回风斜巷
机电队	2025-06-04	材料	110107050000167	镀锌焊接钢管（镀锌钢管）	DN32×2.5	公斤	20.00	3.00	60.00	开掘	+878-810m回风斜巷
机电队	2025-06-04	材料	214101030000009	重型绳卡头	28mm	个	35.00	14.65	512.75	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	390123050000003	钢丝刷	200mm	把	2.00	1.71	3.42	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	391103030000003	砂布	100#	张	5.00	1.05	5.25	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	971107000000002	尼龙绳	12mm	公斤	15.00	12.25	183.75	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	231103090000172	螺栓松动剂	450ml	瓶	3.00	5.57	16.71	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	213101150000025	活扳手	300mm（优质合金钢）	把	2.00	17.49	34.98	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	990562210003689	老虎钳	9寸	个	5.00	34.50	172.50	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	213115030000005	十字螺丝刀	150mm	把	2.00	1.07	2.14	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	213115010000005	一字螺丝刀	150mm	把	2.00	1.07	2.14	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	213701010000004	包胶钢卷尺	5m（不锈钢，工程塑料）	把	6.00	4.20	25.20	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	970113000000001	石笔	110*80*40	盒	20.00	1.50	30.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	210545510000003	防水胶布	18mm	盘	10.00	1.41	14.10	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	E21009080000379	二氧化碳保护焊机	NBC-630	台	1.00	14500.00	14500.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-03	材料	390707010000011	焊丝	φ1.2	公斤	200.00	10.50	2100.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-03	材料	212101250000016	法兰盘	150mm(-16)	个	3.00	47.65	142.95	开掘	+878-810m回风斜巷
掘进一队	2025-06-03	材料	230119110000006	尼龙扎带	5×500	根	200.00	0.07	14.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-03	材料	214101030000007	重型绳卡头	22mm	个	6.00	7.68	46.08	开掘	+878-810m回风斜巷
掘进一队	2025-06-03	材料	230503090000057	自喷漆	400ml	瓶	4.00	13.90	55.60	开掘	+878-810m回风斜巷
掘进一队	2025-06-03	材料	110707250000011	缝管锚杆	MF40/2000	套	100.00	36.00	3600.00	开掘	+878-810m回风斜巷
机电队	2025-06-03	材料	990143030014419	煤镐	三产（4420）	个	2.00	8.38	16.76	开掘	+878-810m回风斜巷
机电队	2025-06-03	材料	213105110000004	手锤	3p	把	1.00	15.34	15.34	开掘	+878-810m回风斜巷
机电队	2025-06-03	材料	990145010000601	镐把	800mm （杂木）±50mm	根	2.00	3.38	6.76	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	392301010000015	钢卷尺	5m（45#钢）	把	5.00	8.00	40.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	990562210003689	老虎钳	9寸	个	7.00	34.50	241.50	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	230503090000057	自喷漆	400ml	瓶	5.00	13.90	69.50	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	213109150000020	断线钳	600mm	把	4.00	35.54	142.16	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-02	材料	390901030000021	气焊割炬	/	把	5.00	185.00	925.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-02	材料	390303030000025	电锤	220V-50Hz-800W-850r/m	台	1.00	188.90	188.90	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-02	材料	210919390000082	喷嘴	DN80	件	10.00	9.20	92.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-02	材料	810709010000026	电极	/	件	20.00	586.30	11726.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-02	材料	390123010000005	毛刷	75mm	把	6.00	3.14	18.84	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-02	材料	214101150000004	花兰螺丝	16×250	条	14.00	18.80	263.20	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-02	材料	390109050000002	工具钢高强剁斧	.	把	2.00	13.29	26.58	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-02	材料	390123050000003	钢丝刷	200mm	把	1.00	1.71	1.71	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	250903050000005	反光药物高筒工矿靴	26#	双	1.00	55.20	55.20	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	250301010000003	安全帽	电绝缘性能+阻燃性能	顶	1.00	36.22	36.22	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	210323110000004	矿灯	KL5LM（Z）锂电	台	2.00	159.00	318.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	980121000001064	矿灯带	.	条	1.00	5.00	5.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	212101250000016	法兰盘	150mm(-16)	个	4.00	47.65	190.60	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	990143030013968	气动隔膜泵	BQG（350-400）/(0.2-0.4)（3969）	台	1.00	3600.00	3600.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	212903130000193	液压接头	.	个	16.00	7.00	112.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	212901070000061	金刚石复合片锚杆钻头（二翼全片）	ZTFG32/2	只	16.00	111.62	1785.92	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	390123010000005	毛刷	75mm	把	4.00	3.14	12.56	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	250903050000003	反光药物高筒工矿靴	25#	双	1.00	55.54	55.54	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	212901270000061	钎尾座	Φ22	个	5.00	9.14	45.70	开掘	+878-810m回风斜巷
掘进一队	2025-06-02	材料	212903030000006	中空煤钻杆	1.2m	根	2.00	19.98	39.96	开掘	+878-810m回风斜巷
机电队	2025-06-01	材料	391103030000003	砂布	100#	张	47.00	1.05	49.35	开掘	+878-810m回风斜巷
机电队	2025-06-01	材料	390101110000017	12.5mm系列套筒扳手	26件套	套	1.00	178.40	178.40	开掘	+878-810m回风斜巷
机电队	2025-06-01	材料	211503010000001	普通螺母	10mm	千件	1.00	58.98	58.98	开掘	+878-810m回风斜巷
机电队	2025-06-01	材料	110507010000007	镀锌铁丝	3.5mm	公斤	30.00	5.19	155.70	开掘	+878-810m回风斜巷
机电队	2025-06-01	材料	211501010000140	六角螺栓	10×40	件	400.00	0.19	76.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-01	材料	110507010000006	镀锌铁丝	2.8mm	公斤	20.00	5.43	108.60	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-01	材料	E21009070000227	等离子切割机	LGK1601	台	1.00	5890.00	5890.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-01	材料	110107050000167	镀锌焊接钢管（镀锌钢管）	DN32×2.5	公斤	100.00	3.00	300.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-01	材料	110107050000165	镀锌焊接钢管（镀锌钢管）	DN20×2.2	公斤	30.00	3.00	90.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-01	材料	390123010000005	毛刷	75mm	把	1.00	3.14	3.14	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-01	材料	390101070000009	活扳手	150mm	把	2.00	9.65	19.30	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-01	材料	390101030000025	梅花扳手	12-14mm	把	2.00	4.08	8.16	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-01	材料	390101070000010	活扳手	200mm	把	2.00	10.00	20.00	开掘	+878-810m回风斜巷
综机机加工车间	2025-06-01	材料	390101070000011	活扳手	250mm	把	2.00	14.40	28.80	开掘	+878-810m回风斜巷
掘进一队	2025-06-01	材料	211501010000261	六角螺栓	20×70	件	30.00	1.63	48.90	开掘	+878-810m回风斜巷
掘进一队	2025-06-01	材料	211501010000216	六角螺栓	16×70	件	30.00	0.83	24.90	开掘	+878-810m回风斜巷
掘进一队	2025-06-01	材料	211503010000004	普通螺母	16mm	件	400.00	0.19	76.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-01	材料	211503010000006	普通螺母	20mm	件	30.00	0.43	12.90	开掘	+878-810m回风斜巷
掘进一队	2025-06-01	材料	230119030000006	普通塑料编织袋	800*500	条	1000.00	0.60	600.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-01	材料	110507010000004	镀锌铁丝	1.6mm	公斤	100.00	6.14	614.00	开掘	+878-810m回风斜巷
掘进一队	2025-06-01	材料	211511230000022	圆钉	70mm（热轧低碳钢）	公斤	15.00	5.13	76.95	开掘	+878-810m回风斜巷
掘进一队	2025-06-01	材料	230503090000057	自喷漆	400ml	瓶	6.00	13.90	83.40	开掘	+878-810m回风斜巷
掘进一队	2025-06-01	材料	550123110000010	650销子	12×90	件	200.00	0.32	64.00	开掘	+878-810m回风斜巷
											
通风队	2025-05-25	材料	213115030000005	十字螺丝刀	150mm	把	2.00	1.07	2.14	开掘	风井联巷20
通风队	2025-05-25	材料	213313170000004	手板锯	优质合金钢	把	1.00	51.06	51.06	开掘	风井联巷20
掘进一队	2025-05-25	材料	230503090000057	自喷漆	400ml	瓶	12.00	13.90	166.80	开掘	风井联巷20
掘进一队	2025-05-25	材料	276701000000002	铜喷嘴	φ20	只	14.00	15.59	218.26	开掘	风井联巷20
掘进一队	2025-05-25	材料	541101010030020	制动器	/	件	3.00	123.21	369.63	开掘	风井联巷20
汽车队	2025-05-24	材料	731503000000091	脚踏黄油枪	通用配件	台	1.00	142.74	142.74	开掘	风井联巷20
汽车队	2025-05-24	材料	213119010000004	黄油枪	400ml（优质合金钢）	把	2.00	47.35	94.70	开掘	风井联巷20
机电队	2025-05-24	材料	210545510000003	防水胶布	18mm	盘	5.00	1.41	7.05	开掘	风井联巷20
通风队	2025-05-24	材料	E36011060000037	南方GPS	h6	套	1.00	38000.00	38000.00	开掘	风井联巷20
通风队	2025-05-24	材料	390101110000033	风炮套头	36mm	个	12.00	14.56	174.72	开掘	风井联巷20
通风队	2025-05-24	材料	213109150000020	断线钳	600mm	把	1.00	35.54	35.54	开掘	风井联巷20
企管科	2025-05-24	材料	973341050000412	订书机	白	台	4.00	25.00	100.00	开掘	风井联巷20
企管科	2025-05-24	材料	973341050000050	订书钉	6月24日	盒	46.00	1.01	46.46	开掘	风井联巷20
掘进一队	2025-05-24	材料	213105130000005	大锤	(三产)8公斤	把	1.00	29.34	29.34	开掘	风井联巷20
掘进一队	2025-05-24	材料	212905050000001	成品钎	Φ22（55SiMnMo)	公斤	11.00	7.50	82.50	开掘	风井联巷20
掘进一队	2025-05-24	材料	231103050000296	电缆冷补剂	/	盒	2.00	4.02	8.04	开掘	风井联巷20
掘进一队	2025-05-24	材料	390101110000030	风炮套头	30mm	个	1.00	11.95	11.95	开掘	风井联巷20
掘进一队	2025-05-24	材料	212901270000061	钎尾座	Φ22	个	8.00	9.19	73.52	开掘	风井联巷20
掘进一队	2025-05-24	材料	990145010000391	钻杆连接器	/	个	2.00	8.40	16.80	开掘	风井联巷20
掘进一队	2025-05-24	材料	250103110000002	高档断线钳	14 / 350 MM（45#钢）	把	3.00	30.50	91.50	开掘	风井联巷20
掘进一队	2025-05-24	材料	390123050000003	钢丝刷	200mm	把	5.00	1.71	8.55	开掘	风井联巷20
掘进一队	2025-05-24	材料	盈树	管子垫	50mm综配	个	28.00	0.81	22.68	开掘	风井联巷20
掘进一队	2025-05-24	材料	盈树	管子垫	Φ100	件	47.00	0.84	39.48	开掘	风井联巷20
掘进一队	2025-05-24	材料	559915010000064	轨距拉杆	624(三产)	对	16.00	28.60	457.60	开掘	风井联巷20
掘进一队	2025-05-24	材料	990143030031679	管子短接	-10679	米	18.00	2.80	50.40	开掘	风井联巷20
掘进一队	2025-05-24	材料	532105070000039	滑轮	P690	件	1.00	215.83	215.83	开掘	风井联巷20
掘进一队	2025-05-24	材料	532105070000039	滑轮	P690	件	18.00	222.98	4013.64	开掘	风井联巷20
综机机加工车间	2025-05-24	材料	290101050000017	O形圈	100×5.3	件	30.00	1.53	45.90	开掘	风井联巷20
企管科	2025-05-24	材料	973341030000010	打印纸	A4	包	8.00	48.76	390.08	开掘	风井联巷20
掘进一队	2025-05-19	材料	390101030000036	梅花扳手	24-27mm	把	3.00	12.12	36.36	开掘	风井联巷20
企管科	2025-05-19	材料	250903050000005	反光药物高筒工矿靴	26#	双	1.00	55.20	55.20	开掘	风井联巷20
企管科	2025-05-19	材料	250101030000030	特制工作服	.	件	2.00	137.80	275.60	开掘	风井联巷20
企管科	2025-05-19	材料	250701070000003	乳胶手套	乳胶	双	10.00	4.92	49.20	开掘	风井联巷20
企管科	2025-05-19	材料	250301010000003	安全帽	电绝缘性能+阻燃性能	顶	1.00	36.22	36.22	开掘	风井联巷20
企管科	2025-05-19	材料	980121000001064	矿灯带	.	条	2.00	5.00	10.00	开掘	风井联巷20
企管科	2025-05-19	材料	990143030017911	布袜子	-7912	双	10.00	8.00	80.00	开掘	风井联巷20
综机机加工车间	2025-05-19	材料	510199170000291	异径直通	JKZ19/10	个	1.00	7.70	7.70	开掘	风井联巷20
综机机加工车间	2025-05-19	材料	990143010007129	直通	Φ10	个	4.00	3.33	13.32	开掘	风井联巷20
综机机加工车间	2025-05-19	材料	510199170000137	球形截止阀	QJ10	件	2.00	38.19	76.38	开掘	风井联巷20
机电队	2025-05-19	材料	210111010000224	橡套电缆	MY-0.38/0.66KV 3×10+1×10 .	米	10.00	52.02	520.20	开掘	风井联巷20
机电队	2025-05-19	材料	E30323090000037	全自动高效净水装置	150T/H	台	1.00	39580.00	39580.00	开掘	风井联巷20
掘进一队	2025-05-19	材料	210919390000082	喷嘴	DN80	件	10.00	9.20	92.00	开掘	风井联巷20
